directory,action,left,right
./data/breakages/commonscodec_2463,UPDATED,3934,149
./data/breakages/astor_400,UPDATED,625,625
./data/breakages/googleguice_2121,MOVED_UNCHANGED,494,304
./data/breakages/astor_1260,UPDATED,223,224
./data/breakages/npefix_1847,UPDATED,138,138
./data/breakages/astor_400,UPDATED,510,510
./data/breakages/gumtreespoonastdiff_2017,UPDATED,253,253
./data/breakages/cidiff_57,UPDATED,119,119
./data/breakages/pushcommentgithub_173,UPDATED,9,9
./data/breakages/npefix_1847,UPDATED,183,183
./data/breakages/dspot_842,MOVED_UNCHANGED,4213,1016
./data/breakages/assertj_1944,UPDATED,3580,3580
./data/breakages/metamutator_1765,UPDATED,129,129
./data/breakages/metamutator_1765,UPDATED,32,32
./data/breakages/sorald_265,UPDATED,715,828
./data/breakages/mimecraft_2316,UPDATED,166,149
./data/breakages/assertj_1944,UPDATED,2270,2270
./data/breakages/jimfs_1890,UPDATED,528,529
./data/breakages/disklrucache_2210,UPDATED,220,221
./data/breakages/cv_45,UPDATED,403,408
./data/breakages/commonscodec_2463,MOVED_UNCHANGED,2014,156
./data/breakages/commonscodec_2463,MOVED_UPDATED,90,57
./data/breakages/cidiff_57,UPDATED,116,116
./data/breakages/juliac_789,UPDATED,19139,18050
./data/breakages/astor_1260,UPDATED,123,124
./data/breakages/cidiff_57,UPDATED,218,218
./data/breakages/sorald_265,UPDATED,699,812
./data/breakages/guava_2087,UPDATED,1981,2030
./data/breakages/guava_2087,UPDATED,1758,1807
./data/breakages/gumtreespoonastdiff_2017,UPDATED,32,32
./data/breakages/spooncontrolflow_805,UPDATED,24,22
./data/breakages/metamutator_1765,UPDATED,1637,176
./data/breakages/dspot_842,UPDATED,902,901
./data/breakages/google_auto_693,UPDATED,1327,1345
./data/breakages/gumtreespoonastdiff_2017,UPDATED,145,145
./data/breakages/mimecraft_2316,UPDATED,116,117
./data/breakages/jodatime_2082,UPDATED,1037,1037
./data/breakages/astor_1278,UPDATED,18,46
./data/breakages/nopol_1347,UPDATED,228,228
./data/breakages/jimfs_1890,UPDATED,474,475
./data/breakages/dspot_842,UPDATED,9842,9837
./data/breakages/google_auto_693,UPDATED,477,477
./data/breakages/cocospoon_1754,MOVED_UNCHANGED,110,109
./data/breakages/dspot_842,UPDATED,8852,8849
./data/breakages/cv_45,UPDATED,302,307
./data/breakages/npefix_1847,UPDATED,1505,921
./data/breakages/googleguice_2121,MOVED_UNCHANGED,772,598
./data/breakages/dspot_842,UPDATED,4922,4921
./data/breakages/disklrucache_2210,UPDATED,729,729
./data/breakages/cidiff_75,UPDATED,90,90
./data/breakages/guava_2087,UPDATED,1760,1809
./data/breakages/cocospoon_1754,UPDATED,111,111
./data/breakages/guava_1947,UPDATED,2484,2704
./data/breakages/sorald_265,UPDATED,691,804
./data/breakages/guava_2087,UPDATED,2165,2214
./data/breakages/casper_1774,UPDATED,160,160
./data/breakages/pushcommentgithub_173,MOVED_UNCHANGED,27,25
./data/breakages/guava_1947,UPDATED,347,346
./data/breakages/gumtreespoonastdiff_2017,UPDATED,206,206
./data/breakages/cv_45,UPDATED,277,282
./data/breakages/jperturb_1634,UPDATED,868,175
./data/breakages/commonscodec_2463,UPDATED,70,70
./data/breakages/astor_400,UPDATED,647,650
./data/breakages/astor_1278,UPDATED,13,41
./data/breakages/assertj_1944,UPDATED,6165,6165
./data/breakages/commonscodec_2463,MOVED_UPDATED,94,61
./data/breakages/google_auto_693,UPDATED,491,491
./data/breakages/astor_1260,UPDATED,260,261
./data/breakages/disklrucache_2210,UPDATED,539,540
./data/breakages/commonscodec_2463,UPDATED,84,84
./data/breakages/assertj_1944,MOVED_UNCHANGED,12901,3879
./data/breakages/astor_400,MOVED_UNCHANGED,585,583
./data/breakages/sorald_265,UPDATED,287,400
./data/breakages/jodatime_2082,UPDATED,2135,2138
./data/breakages/astor_1260,UPDATED,144,145
./data/breakages/jimfs_1890,UPDATED,1203,1204
./data/breakages/casper_1774,UPDATED,294,431
./data/breakages/jperturb_1634,UPDATED,866,173
./data/breakages/jimfs_1890,UPDATED,26,26
./data/breakages/nopol_1347,UPDATED,207,207
./data/breakages/google_auto_693,UPDATED,454,454
./data/breakages/sorald_445,UPDATED,116,122
./data/breakages/google_auto_693,UPDATED,498,498
./data/breakages/casper_1774,UPDATED,138,138
./data/breakages/astor_1260,UPDATED,288,289
